Questions,Answers,b,c,v,id,Text
On what day did the apostles receive the Holy Spirit?,Day of Pentecost,44,2,1,44002001,"When the day of Pentecost arrived, they were all together in one place."
At the Last Supper what items of food and drink did Jesus give thanks for?,Bread and wine,40,26,27,40026027,"And he took a cup, and when he had given thanks he gave it to them, saying, ""Drink of it, all of you,"
When Jesus was in the wilderness what was he tempted to turn into loaves of bread?,Stones,40,4,3,40004003,"And the tempter came and said to him, ""If you are the Son of God, command these stones to become loaves of bread."""
What was the first temptation of Christ?,To turn a stone into bread,40,4,3,40004003,"And the tempter came and said to him, ""If you are the Son of God, command these stones to become loaves of bread."""
What were the religious leaders called who continually tried to trap Jesus with their questions?,Pharisees and Sadducees,41,10,2,41010002,"And Pharisees came up and in order to test him asked, ""Is it lawful for a man to divorce his wife?"""
What miracle did Jesus do for Lazarus?,Raised him from the dead ,43,11,44,43011044,"The man who had died came out, his hands and feet bound with linen strips, and his face wrapped with a cloth. Jesus said to them, ""Unbind him, and let him go."""
On which mountain were the Israelites given the Ten Commandments?,Mt. Sinai,2,34,32,2034032,"Afterward all the people of Israel came near, and he commanded them all that the LORD had spoken with him in Mount Sinai."
Who was Solomon's father?,David,11,2,12,11002012,"So Solomon sat on the throne of David his father, and his kingdom was firmly established."
What job did Jesus' earthly father Joseph do?,Carpenter,40,13,55,40013055,Is not this the carpenter's son? Is not his mother called Mary? And are not his brothers James and Joseph and Simon and Judas?
How did Judas betray Christ?,With a kiss,42,22,48,42022048,"but Jesus said to him, ""Judas, would you betray the Son of Man with a kiss?"""
Solomon judged wisely over the rightful mother of a child but how did he determine who the child belonged to?,Threatened to divide the child,11,3,25,11003025,"And the king said, ""Divide the living child in two, and give half to the one and half to the other."""
Whose father was prepared to sacrifice him on an altar?,Isaac,1,22,9,1022009,"When they came to the place of which God had told him, Abraham built the altar there and laid the wood in order and bound Isaac his son and laid him on the altar, on top of the wood."
At the age of twelve Jesus was left behind in Jerusalem. Where did his parents find him?,In the temple,42,2,46,42002046,"After three days they found him in the temple, sitting among the teachers, listening to them and asking them questions."
When the disciples saw Jesus walking on water what did they think he was?,A ghost,40,14,26,40014026,"But when the disciples saw him walking on the sea, they were terrified, and said, ""It is a ghost!"" and they cried out in fear."
What gift did Salome daughter of Herodias ask for after she danced for Herod?,John the Baptist's head ,40,14,8,40014008,"Prompted by her mother, she said, ""Give me the head of John the Baptist here on a platter."""
Who instructed her daughter to ask for the head of John the Baptist?,Herodias,40,14,8,40014008,"Prompted by her mother, she said, ""Give me the head of John the Baptist here on a platter."""
How did Samson kill all the people in the temple?,Pushed the pillars over and the temple collapsed,7,16,30,7016030,"And Samson said, ""Let me die with the Philistines."" Then he bowed with all his strength, and the house fell upon the lords and upon all the people who were in it. So the dead whom he killed at his death were more than those whom he had killed during his life."
Which musical instrument did David play for Saul?,Harp / Lyre,9,16,23,9016023,"And whenever the evil spirit from God was upon Saul, David took the lyre and played it with his hand. So Saul was refreshed and was well, and the evil spirit departed from him."
Why did Jacob initially send Joseph's brothers into Egypt?,To buy corn,1,42,2,1042002,"And he said, ""Behold, I have heard that there is grain for sale in Egypt. Go down and buy grain for us there, that we may live and not die."""
Who was David's great friend?,Jonathan,9,18,1,9018001,"As soon as he had finished speaking to Saul, the soul of Jonathan was knit to the soul of David, and Jonathan loved him as his own soul."
"Who said ""thy God shall be my God""?",Ruth,8,1,16,8001016,"But Ruth said, ""Do not urge me to leave you or to return from following you. For where you go I will go, and where you lodge I will lodge. Your people shall be my people, and your God my God."
Which of Christ's belongings did the soldiers cast lots for after they had crucified him?,His coat,40,27,35,40027035,"And when they had crucified him, they divided his garments among them by casting lots."
What does James say we should do if we lack wisdom?,Ask God for wisdom in faith ,59,1,5,59001005,"If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him."
Where did Jesus meet the woman of Samaria?,By a well,43,4,7,43004007,"There came a woman of Samaria to draw water. Jesus said to her, ""Give me a drink."""
Which disciple tried to walk on water as Jesus did?,(Simon) Peter,40,14,29,40014029,"He said, ""Come."" So Peter got out of the boat and walked on the water and came to Jesus."
Why did Elimelech go to live in Moab with his family?,Famine in his home town ,8,1,1,8001001,"In the days when the judges ruled there was a famine in the land, and a man of Bethlehem in Judah went to sojourn in the country of Moab, he and his wife and his two sons."
With whom did David commit adultery?,Bathsheba,10,11,4,10011004,"So David sent messengers and took her, and she came to him, and he lay with her. (Now she had been purifying herself from her uncleanness.) Then she returned to her house."
When the Prodigal Son returned his father gave him a robe shoes and what other item?,Ring,42,15,22,42015022,"But the father said to his servants, 'Bring quickly the best robe, and put it on him, and put a ring on his hand, and shoes on his feet."
What are the names of Lazarus' sisters?,Mary and Martha,43,11,1,43011001,"Now a certain man was ill, Lazarus of Bethany, the village of Mary and her sister Martha."
In which town did Martha and Mary live?,Bethany,43,11,1,43011001,"Now a certain man was ill, Lazarus of Bethany, the village of Mary and her sister Martha."
Where did Jonah go after being thrown overboard and reaching dry land?,Nineveh,32,3,3,32003003,"So Jonah arose and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceedingly great city, three days' journey in breadth."
For what did Esau sell his birthright to Jacob?,A meal,1,25,34,1025034,"Then Jacob gave Esau bread and lentil stew, and he ate and drank and rose and went his way. Thus Esau despised his birthright."
What happened to Elimelech in Moab?,He died,8,1,3,8001003,"But Elimelech, the husband of Naomi, died, and she was left with her two sons."
What does the shepherd in the parable of the lost sheep do once he realizes one is missing?,Goes and looks for it,40,18,12,40018012,"What do you think? If a man has a hundred sheep and one of them has gone astray, does he not leave the ninety-nine on the mountains and go in search of the one that went astray?"
In the parable of the lost sheep how many sheep did the shepherd count safely into the fold?,Ninety-nine,40,18,12,40018012,"What do you think? If a man has a hundred sheep and one of them has gone astray, does he not leave the ninety-nine on the mountains and go in search of the one that went astray?"
What is the name of the disciple who betrayed Jesus?,Judas Iscariot,41,14,10,41014010,"Then Judas Iscariot, who was one of the twelve, went to the chief priests in order to betray him to them."
What golden animal did the Israelites make as an idol?,Calf,2,32,4,2032004,"And he received the gold from their hand and fashioned it with a graving tool and made a golden calf. And they said, ""These are your gods, O Israel, who brought you up out of the land of Egypt!"""
Who did Jesus appear to first after his resurrection?,Mary Magdalene,41,16,9,41016009,"[[Now when he rose early on the first day of the week, he appeared first to Mary Magdalene, from whom he had cast out seven demons."
What job did Peter and Andrew do?,Fishermen,40,4,18,40004018,"While walking by the Sea of Galilee, he saw two brothers, Simon (who is called Peter) and Andrew his brother, casting a net into the sea, for they were fishermen."
Which prophet tried to flee from God when asked to preach God's message in Nineveh?,Jonah,32,1,3,32001003,"But Jonah rose to flee to Tarshish from the presence of the LORD. He went down to Joppa and found a ship going to Tarshish. So he paid the fare and went on board, to go with them to Tarshish, away from the presence of the LORD."
Where did Jonah try to run to instead of going to Nineveh as God had commanded?,Tarshish,32,1,3,32001003,"But Jonah rose to flee to Tarshish from the presence of the LORD. He went down to Joppa and found a ship going to Tarshish. So he paid the fare and went on board, to go with them to Tarshish, away from the presence of the LORD."
What is the collective name of the stories Jesus told to convey his message?,Fulfilling Isaiah's prophecy,40,13,13,40013013,"This is why I speak to them in parables, because seeing they do not see, and hearing they do not hear, nor do they understand."
What was noticeable about Jacob's twin brother Esau at birth?,He was red and hairy,1,25,25,1025025,"The first came out red, all his body like a hairy cloak, so they called his name Esau."
Who wanted to kill Jesus when he was a baby?,Herod,40,2,13,40002013,"Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream and said, ""Rise, take the child and his mother, and flee to Egypt, and remain there until I tell you, for Herod is about to search for the child, to destroy him."""
To which country did Mary and Joseph escape when Herod killed all the babies in Bethlehem?,Egypt,40,2,13,40002013,"Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream and said, ""Rise, take the child and his mother, and flee to Egypt, and remain there until I tell you, for Herod is about to search for the child, to destroy him."""
How were the family warned that someone wanted to kill the baby Jesus?,In a dream,40,2,13,40002013,"Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream and said, ""Rise, take the child and his mother, and flee to Egypt, and remain there until I tell you, for Herod is about to search for the child, to destroy him."""
What did the earth look like in the beginning?,Without form and empty,1,1,2,1001002,"The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters."
How did the father first respond upon seeing the Prodigal Son returning home?,He ran out and embraced him,42,15,20,42015020,"And he arose and came to his father. But while he was still a long way off, his father saw him and felt compassion, and ran and embraced him and kissed him."
"Which well known Psalm of David contains the line ""he maketh me to lie down in green pastures""?",Psalm 23,19,23,2,19023002,He makes me lie down in green pastures. He leads me beside still waters.
Abraham's wife Sarah bore a special son. What was his name?,Isaac,1,17,19,1017019,"God said, ""No, but Sarah your wife shall bear you a son, and you shall call his name Isaac. I will establish my covenant with him as an everlasting covenant for his offspring after him."
Which son did Jacob love more than all the others?,Joseph,1,37,3,1037003,"Now Israel loved Joseph more than any other of his sons, because he was the son of his old age. And he made him a robe of many colors."
Who was Jacob's grandfather?,Abraham,40,1,2,40001002,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,"
What relation was Jacob to Abraham?,Grandson,40,1,2,40001002,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,"
To which city will all nations one day go to worship God?,Jerusalem,38,14,16,38014016,"Then everyone who survives of all the nations that have come against Jerusalem shall go up year after year to worship the King, the LORD of hosts, and to keep the Feast of Booths."
"Who said ""I am the true vine""?",Jesus,43,15,1,43015001,"""I am the true vine, and my Father is the vinedresser."
When there was no water to drink in the wilderness how did Moses provide it?,God told him to strike a rock,2,17,6,2017006,"Behold, I will stand before you there on the rock at Horeb, and you shall strike the rock, and water shall come out of it, and the people will drink."" And Moses did so, in the sight of the elders of Israel."
To which tribe did Jesus belong?,Judah,58,7,14,58007014,"For it is evident that our Lord was descended from Judah, and in connection with that tribe Moses said nothing about priests."
What tragedy did Jacob think had happened to Joseph?,An evil beast had devoured him,1,37,33,1037033,"And he identified it and said, ""It is my son's robe. A fierce animal has devoured him. Joseph is without doubt torn to pieces."""
What affliction did Hannah suffer from that allowed Peninnah to provoke her?,She was barren,9,1,6,9001006,"And her rival used to provoke her grievously to irritate her, because the LORD had closed her womb."
"Which is the gate that ""leads to life""?",The narrow gate,40,7,14,40007014,"For the gate is narrow and the way is hard that leads to life, and those who find it are few."
What happened to the man who built his house upon the sand?,His house fell fiat,40,7,27,40007027,"And the rain fell, and the floods came, and the winds blew and beat against that house, and it fell, and great was the fall of it."""
What was the relationship of Mary (mother of Jesus) to Elisabeth?,Cousin,42,1,36,42001036,"And behold, your relative Elizabeth in her old age has also conceived a son, and this is the sixth month with her who was called barren."
What is the name of Jesus' cousin born six months before him?,John,42,1,36,42001036,"And behold, your relative Elizabeth in her old age has also conceived a son, and this is the sixth month with her who was called barren."
How should we treat those who are our enemies according to Jesus?,Love your enemies bless them that curse you,40,5,44,40005044,"But I say to you, Love your enemies and pray for those who persecute you,"
"Who said ""Thou art my beloved Son in thee I am well pleased""?",God,41,1,11,41001011,"And a voice came from heaven, ""You are my beloved Son; with you I am well pleased."""
Which son did Jacob not send to Egypt for grain during the famine?,Benjamin,1,42,4,1042004,"But Jacob did not send Benjamin, Joseph's brother, with his brothers, for he feared that harm might happen to him."
Who suggested that Jonah be thrown overboard?,Jonah himself,32,1,12,32001012,"He said to them, ""Pick me up and hurl me into the sea; then the sea will quiet down for you, for I know it is because of me that this great tempest has come upon you."""
What did Ruth do to Boaz while he was sleeping?,Uncovered his feet and lay down next to him,8,3,7,8003007,"And when Boaz had eaten and drunk, and his heart was merry, he went to lie down at the end of the heap of grain. Then she came softly and uncovered his feet and lay down."
As Esau grew what was he was described as?,Cunning hunter,1,25,27,1025027,"When the boys grew up, Esau was a skillful hunter, a man of the field, while Jacob was a quiet man, dwelling in tents."
When Jesus went to dinner at Simon the Pharisee's house what did a woman do for him?,Washed and anointed his feet with precious ointment,42,7,38,42007038,"and standing behind him at his feet, weeping, she began to wet his feet with her tears and wiped them with the hair of her head and kissed his feet and anointed them with the ointment."
What was Bathsheba doing when David first saw her?,Washing herself,10,11,2,10011002,"It happened, late one afternoon, when David arose from his couch and was walking on the roof of the king's house, that he saw from the roof a woman bathing; and the woman was very beautiful."
When the law was given to the children of Israel what were they told not to worship?,Other gods,2,34,14,2034014,"(for you shall worship no other god, for the LORD, whose name is Jealous, is a jealous God),"
Who ran from Mount Carmel to Samaria faster than Ahab could drive his chariot?,Elijah,11,18,46,11018046,"And the hand of the LORD was on Elijah, and he gathered up his garment and ran before Ahab to the entrance of Jezreel."
How many sons did Jacob (Israel) have?,Twelve,1,35,22,1035022,"While Israel lived in that land, Reuben went and lay with Bilhah his father's concubine. And Israel heard of it.Now the sons of Jacob were twelve."
Which disciple wanted to see the imprint of the nails before he would believe?,Thomas,43,20,25,43020025,"So the other disciples told him, ""We have seen the Lord."" But he said to them, ""Unless I see in his hands the mark of the nails, and place my finger into the mark of the nails, and place my hand into his side, I will never believe."""
Which king dreamed about a large statue of a man made from different metals?,Nebuchadnezzar,27,2,1,27002001,"In the second year of the reign of Nebuchadnezzar, Nebuchadnezzar had dreams; his spirit was troubled, and his sleep left him."
What form did the Holy Spirit take at the baptism of Jesus?,Dove,42,3,22,42003022,"and the Holy Spirit descended on him in bodily form, like a dove; and a voice came from heaven, ""You are my beloved Son; with you I am well pleased."""
What was the first thing Noah built when he came out of the ark?,Altar,1,8,20,1008020,Then Noah built an altar to the LORD and took some of every clean animal and some of every clean bird and offered burnt offerings on the altar.
Who claimed that the golden calf simply came out of the fire?,Aaron,2,32,24,2032024,"So I said to them, 'Let any who have gold take it off.' So they gave it to me, and I threw it into the fire, and out came this calf."""
Towards which city was Saul travelling when he encountered a light from heaven?,Damascus,44,9,3,44009003,"Now as he went on his way, he approached Damascus, and suddenly a light from heaven flashed around him."
What did Saul see on the road approaching Damascus?,A shining light from heaven,44,9,3,44009003,"Now as he went on his way, he approached Damascus, and suddenly a light from heaven flashed around him."
What did the sailors of the ship Jonah was on do to increase their chances of survival?,Threw the cargo overboard,32,1,5,32001005,"Then the mariners were afraid, and each cried out to his god. And they hurled the cargo that was in the ship into the sea to lighten it for them. But Jonah had gone down into the inner part of the ship and had lain down and was fast asleep."
What was Jonah found doing on the ship while the storm was raging?,Sleeping,32,1,5,32001005,"Then the mariners were afraid, and each cried out to his god. And they hurled the cargo that was in the ship into the sea to lighten it for them. But Jonah had gone down into the inner part of the ship and had lain down and was fast asleep."
Who was Jacob's mother?,Rebekah,1,27,11,1027011,"But Jacob said to Rebekah his mother, ""Behold, my brother Esau is a hairy man, and I am a smooth man."
How long will the Kingdom of God last?,Forever,61,1,11,61001011,For in this way there will be richly provided for you an entrance into the eternal kingdom of our Lord and Savior Jesus Christ.
In which town was Jesus born?,Bethlehem,40,2,1,40002001,"Now after Jesus was born in Bethlehem of Judea in the days of Herod the king, behold, wise men from the east came to Jerusalem,"
Who was the king of Judea at the time of Jesus' birth?,Herod ,40,2,1,40002001,"Now after Jesus was born in Bethlehem of Judea in the days of Herod the king, behold, wise men from the east came to Jerusalem,"
How were the Thessalonians told to pray?,Without ceasing,52,5,17,52005017,"pray without ceasing,"
What happened to the city of Jericho after the priests blew their trumpets?,Walls fell down,6,6,20,6006020,"So the people shouted, and the trumpets were blown. As soon as the people heard the sound of the trumpet, the people shouted a great shout, and the wall fell down flat, so that the people went up into the city, every man straight before him, and they captured the city."
Which garden did Jesus go to to pray in before his arrest?,Gethsemane,40,26,36,40026036,"Then Jesus went with them to a place called Gethsemane, and he said to his disciples, ""Sit here, while I go over there and pray."""
